ID,category,year,month,day,verified,province,longitude,latitude,review,open_days
18170080,3,2014,5,9,0,12,115.98381,36.46301,0,1109
18306702,1,2014,5,27,1,8,117.34165,32.88174,0,1091
19284169,11,2014,8,10,0,12,119.39464,36.00359,0,1016
21229420,2,2014,11,27,0,10,115.9449,28.67657,0,907
3183463,2,2009,5,31,0,3,121.54665,29.86039,0,2913
5537605,9,2012,1,5,0,25,121.52003,38.9576,13,1964
6747116,2,2012,10,24,1,3,119.65563,29.07642,67,1671
9547822,2,2013,5,1,0,1,115.8369,38.42193,0,1482
9902982,2,2013,5,7,0,16,112.58519,33.00073,0,1476
10294034,1,2013,5,30,0,6,113.25474,22.76413,0,1453
11107945,1,2013,6,19,0,12,117.02632,36.65767,0,1433
12808943,1,2013,7,9,0,11,113.61832,37.84456,0,1413
14124114,1,2013,9,17,0,9,113.44894,30.36291,0,1343
14684484,2,2013,9,30,1,3,120.3522,30.31058,53,1330
16581038,10,2013,12,18,0,11,112.35412,37.60473,0,1251
18407239,1,2014,6,10,0,14,106.44967,29.53958,0,1077
19460892,2,2014,8,29,0,16,114.07749,32.11786,0,997
6212481,2,2012,8,15,0,4,119.36846,25.71944,0,1741
7076789,1,2012,11,6,0,11,112.72628,37.69031,0,1658
9179565,2,2013,4,20,1,14,106.63024,29.72074,0,1493
9945652,1,2013,5,9,0,22,121.38932,31.24206,3,1474
11099864,4,2013,6,19,0,12,116.99497,36.68272,0,1433
11969507,6,2013,7,4,0,25,124.78697,40.73911,0,1418
12123672,6,2013,7,4,0,19,105.64172,32.37998,0,1418
13575348,3,2013,7,10,0,20,108.27568,23.15543,0,1412
14864381,6,2013,10,21,0,21,107.98435,26.58858,0,1309
16481964,6,2013,12,18,0,4,117.17426,26.89014,0,1251
17950848,6,2014,4,9,1,12,118.3195,35.07086,0,1139
20847900,7,2014,10,23,0,6,116.16736,23.28891,0,942
3163390,2,2009,5,20,0,6,113.25319,23.15767,0,2924
7028966,5,2012,11,6,0,3,120.66107,28.01574,0,1658
9595096,2,2013,5,2,1,25,123.0263,41.14924,1,1481
10191769,4,2013,5,30,0,15,103.18212,26.07745,0,1453
11419930,11,2013,6,20,0,19,104.25501,30.88333,0,1432
13690964,1,2013,7,15,0,16,115.65167,34.4414,0,1407
15100805,2,2013,11,6,1,8,117.27935,31.83197,16,1293
15688463,7,2013,11,17,0,13,122.26339,43.6182,0,1282
17583126,1,2014,2,11,0,19,103.94263,30.98842,0,1196
19431718,2,2014,8,27,1,12,120.39937,36.06804,6,999
3557875,2,2009,11,25,1,7,116.37569,39.91063,0,2735
4645061,6,2011,1,4,0,6,113.86898,22.56477,0,2330
7374005,1,2012,11,7,0,26,82.56636,45.16899,0,1657
10842553,6,2013,6,19,0,25,123.47863,41.81805,0,1433
11825127,3,2013,7,4,0,25,121.74238,42.05936,0,1418
12735242,1,2013,7,9,0,5,120.30585,32.13063,0,1413
13104432,6,2013,7,9,0,15,103.81894,25.49076,0,1413
14949188,9,2013,10,31,0,19,104.0418,30.51155,0,1299
